diac_count,num_sentences,pct,num_sentences_no_tanween,pct_no_tanween
0,34559.0,49.77,42130.0,60.67
1,7169.0,10.32,3132.0,4.51
2,4084.0,5.88,2667.0,3.84
3,2684.0,3.87,1995.0,2.87
4,1978.0,2.85,1688.0,2.43
5,1490.0,2.15,1264.0,1.82
6,1364.0,1.96,1271.0,1.83
7,1055.0,1.52,903.0,1.3
8,949.0,1.37,908.0,1.31
9,867.0,1.25,828.0,1.19
10,804.0,1.16,717.0,1.03
11,642.0,0.92,583.0,0.84
12,575.0,0.83,542.0,0.78
13,555.0,0.8,551.0,0.79
14,482.0,0.69,437.0,0.63
15,505.0,0.73,499.0,0.72
16,446.0,0.64,404.0,0.58
17,384.0,0.55,389.0,0.56
18,380.0,0.55,354.0,0.51
19,349.0,0.5,348.0,0.5
20,345.0,0.5,352.0,0.51
21,329.0,0.47,287.0,0.41
22,283.0,0.41,293.0,0.42
23,297.0,0.43,281.0,0.4
24,275.0,0.4,285.0,0.41
25,273.0,0.39,258.0,0.37
26,219.0,0.32,238.0,0.34
27,259.0,0.37,224.0,0.32
28,224.0,0.32,254.0,0.37
29,224.0,0.32,252.0,0.36
30,238.0,0.34,236.0,0.34
31,243.0,0.35,237.0,0.34
32,257.0,0.37,205.0,0.3
33,221.0,0.32,250.0,0.36
34,225.0,0.32,193.0,0.28
35,211.0,0.3,200.0,0.29
36,182.0,0.26,174.0,0.25
37,161.0,0.23,164.0,0.24
38,170.0,0.24,144.0,0.21
39,150.0,0.22,139.0,0.2
40,132.0,0.19,120.0,0.17
41,118.0,0.17,116.0,0.17
42,120.0,0.17,115.0,0.17
43,105.0,0.15,114.0,0.16
44,115.0,0.17,119.0,0.17
45,101.0,0.15,83.0,0.12
46,100.0,0.14,101.0,0.15
47,109.0,0.16,103.0,0.15
48,91.0,0.13,102.0,0.15
49,88.0,0.13,91.0,0.13
50,96.0,0.14,98.0,0.14
51,89.0,0.13,79.0,0.11
52,79.0,0.11,72.0,0.1
53,88.0,0.13,85.0,0.12
54,74.0,0.11,74.0,0.11
55,75.0,0.11,71.0,0.1
56,82.0,0.12,82.0,0.12
57,62.0,0.09,61.0,0.09
58,77.0,0.11,49.0,0.07
59,62.0,0.09,57.0,0.08
60,46.0,0.07,56.0,0.08
61,56.0,0.08,50.0,0.07
62,50.0,0.07,60.0,0.09
63,34.0,0.05,39.0,0.06
64,52.0,0.07,35.0,0.05
